date,real,user,sys,option,type,file,original_size,compressed_size
Thu Oct 24 05:38:32 -03 2024,0m2.747s,0m0.000s,0m0.000s,C,WORD,bible.txt,4047392,2702454
Thu Oct 24 05:38:35 -03 2024,0m1.980s,0m0.000s,0m0.000s,C,WORD,bible.txt,4047392,2702454
Thu Oct 24 05:38:37 -03 2024,0m1.901s,0m0.000s,0m0.000s,C,WORD,bible.txt,4047392,2702454
Thu Oct 24 05:38:39 -03 2024,0m1.999s,0m0.000s,0m0.000s,C,WORD,bible.txt,4047392,2702454
Thu Oct 24 05:38:41 -03 2024,0m1.910s,0m0.000s,0m0.000s,C,WORD,bible.txt,4047392,2702454
Thu Oct 24 05:38:43 -03 2024,0m0.627s,0m0.000s,0m0.000s,D,WORD,bible.txt,2702454,4047392
Thu Oct 24 05:38:43 -03 2024,0m0.780s,0m0.000s,0m0.000s,D,WORD,bible.txt,2702454,4047392
Thu Oct 24 05:38:44 -03 2024,0m0.617s,0m0.000s,0m0.000s,D,WORD,bible.txt,2702454,4047392
Thu Oct 24 05:38:45 -03 2024,0m0.648s,0m0.000s,0m0.000s,D,WORD,bible.txt,2702454,4047392
Thu Oct 24 05:38:46 -03 2024,0m0.714s,0m0.000s,0m0.000s,D,WORD,bible.txt,2702454,4047392
Thu Oct 24 05:44:17 -03 2024,0m1.708s,0m0.000s,0m0.000s,C,CHARACTER,bible.txt,4047392,2220785
Thu Oct 24 05:44:19 -03 2024,0m0.614s,0m0.000s,0m0.000s,C,CHARACTER,bible.txt,4047392,2220785
Thu Oct 24 05:44:20 -03 2024,0m0.629s,0m0.000s,0m0.000s,C,CHARACTER,bible.txt,4047392,2220785
Thu Oct 24 05:44:20 -03 2024,0m0.630s,0m0.000s,0m0.015s,C,CHARACTER,bible.txt,4047392,2220785
Thu Oct 24 05:44:21 -03 2024,0m0.614s,0m0.000s,0m0.000s,C,CHARACTER,bible.txt,4047392,2220785
Thu Oct 24 05:44:22 -03 2024,0m0.581s,0m0.000s,0m0.015s,D,CHARACTER,bible.txt,2220785,4047392
Thu Oct 24 05:44:22 -03 2024,0m0.586s,0m0.000s,0m0.000s,D,CHARACTER,bible.txt,2220785,4047392
Thu Oct 24 05:44:23 -03 2024,0m0.721s,0m0.000s,0m0.000s,D,CHARACTER,bible.txt,2220785,4047392
